fid,production
286,2062.72064713035
287,2403.5784480397
288,2459.96562986011
289,886.618595553379
290,2426.59143318127
291,2343.40299682627
292,2386.33162526673
293,2406.61644224536
294,2414.46351022202
295,2394.13003278231
296,1747.09791181713
297,2441.9334232744
298,1986.70036115033
299,1860.45908945735
300,2113.25719810145
301,2377.0892648016
302,2270.85447683764
303,17592.9489163295
304,2354.87102287142
305,2425.03480199047
306,1607.92893379523
307,2366.9954674988
308,2318.11212750639
309,1856.95377978446
310,1028.54589293917
311,2011.26614365837
312,2114.92740198441
313,2122.54624073112
314,1982.01575709674
315,2145.72914508135
316,2227.1519028188
317,2138.04490121255
318,2217.41566470983
319,2135.36056230151
320,1942.35748605814
321,2145.73374048134
322,2206.00524214996
323,2170.87013147674
324,2354.12662005234
325,2168.58500502257
326,1389.70894251375
327,2097.78882566672
328,2228.67358846001
329,2318.7274729346
330,2196.00652247279
331,2171.05612439291
332,2125.3981991189
333,2171.12126403125
334,2446.52005727583
335,2217.22863570213
336,2056.33389705046
337,2374.20499484526
338,2228.86620398879
339,2095.86180845098
340,1769.92749568448
341,2368.91694436754
342,1780.66372736357
343,2136.27730074205
344,1078.44223863827
345,1344.04584730502
346,1947.62348685216
347,2047.96942762611
348,1901.7952896289
349,2076.17271855593
350,2112.03091484708
351,2150.01541843237
352,2173.15525793093
353,2192.93672014114
354,2233.92935913989
355,2154.8742462981
356,2103.11939200025
357,2128.43858131346
358,2431.24521820855
359,2014.36835957054
360,2175.44038438512
361,2094.45693155161
362,2136.90684462316
363,2338.7364444626
364,2160.94285199698
365,2417.4644540134
366,2200.02373336288
367,2140.2529736268
368,2165.79012691867
369,2430.9446913769
370,2190.63321518367
371,2101.01577371721
372,2209.06125484873
373,2154.58263012763
374,1858.05251369514
375,2213.66826476432
376,1982.24859073973
377,2197.90989575009
378,2198.0988303462
379,2136.53760267757
380,2333.38749910702
381,2140.63577788107
382,2409.52733099225
383,2218.13994813263
384,1541.1054986316
385,2192.93897914523
386,2018.36342176241
387,2142.86793197623
388,1469.34535172174
389,2007.70680390789
390,2114.25879555893
391,2351.79907202056
392,2435.71975402968
393,2412.03725529536
394,2202.15073997366
395,2200.02373336355
396,2316.59506262553
397,1750.00881111392
398,2161.73169491376
399,2118.31423692233
400,2208.59956125894
401,1991.40528007042
402,1485.62685642811
403,2127.24285330557
404,2097.35556201679
405,1192.46016907364
406,2293.79730466786
407,2435.71975402892
408,1866.9640365426
409,2193.12710723948
410,2435.71975402895
411,2209.06125484874
412,2259.43082492956
413,2136.53760267822
